id;device;ios;tool_jb;link;icon;supdev;note
1;iPhone;12_0;Checkra1n;https://checkra.in/;apple;5s - X;
2;iPhone;12_0;Chimera;https://chimera.coolstar.org/;apple;;
3;iPhone;12_0;Unc0ver;https://unc0ver.dev/;apple;;
4;iPhone;12_0_1;Checkra1n;https://checkra.in/;apple;5s - X;
5;iPhone;12_0_1;Chimera;https://chimera.coolstar.org/;apple;;
6;iPhone;12_0_1;Unc0ver;https://unc0ver.dev/;apple;;
7;iPhone;12_1;Checkra1n;https://checkra.in/;apple;5s - X;
8;iPhone;12_1;Chimera;https://chimera.coolstar.org/;apple;;
9;iPhone;12_1;Unc0ver;https://unc0ver.dev/;apple;;
10;iPhone;12_1_1;Checkra1n;https://checkra.in/;apple;5s - X;
11;iPhone;12_1_1;Chimera;https://chimera.coolstar.org/;apple;;
12;iPhone;12_1_1;Unc0ver;https://unc0ver.dev/;apple;;
13;iPhone;12_1_2;Checkra1n;https://checkra.in/;apple;5s - X;
14;iPhone;12_1_2;Chimera;https://chimera.coolstar.org/;apple;;
15;iPhone;12_1_2;Unc0ver;https://unc0ver.dev/;apple;;
16;iPhone;12_1_3;Checkra1n;https://checkra.in/;apple;5s - X;
17;iPhone;12_1_3;Chimera;https://chimera.coolstar.org/;apple;;
18;iPhone;12_1_3;Unc0ver;https://unc0ver.dev/;apple;;
19;iPhone;12_1_4;Checkra1n;https://checkra.in/;apple;5s - X;
20;iPhone;12_1_4;Chimera;https://chimera.coolstar.org/;apple;;
21;iPhone;12_1_4;Unc0ver;https://unc0ver.dev/;apple;;
22;iPhone;12_2;Checkra1n;https://checkra.in/;apple;5s - X;
23;iPhone;12_2;Chimera;https://chimera.coolstar.org/;apple;;
24;iPhone;12_2;Unc0ver;https://unc0ver.dev/;apple;;
25;iPhone;12_3;Checkra1n;https://checkra.in/;apple;5s - X;
26;iPhone;12_3;Chimera;https://chimera.coolstar.org/;apple;;
27;iPhone;12_3;Unc0ver;https://unc0ver.dev/;apple;;
28;iPhone;12_3_1;Checkra1n;https://checkra.in/;apple;5s - X;
29;iPhone;12_3_1;Chimera;https://chimera.coolstar.org/;apple;;
30;iPhone;12_3_1;Unc0ver;https://unc0ver.dev/;apple;;
31;iPhone;12_3_2;Checkra1n;https://checkra.in/;apple;5s - X;
32;iPhone;12_3_2;Chimera;https://chimera.coolstar.org/;apple;;
33;iPhone;12_3_2;Unc0ver;https://unc0ver.dev/;apple;;
34;iPhone;12_4;Checkra1n;https://checkra.in/;apple;5s - X;
35;iPhone;12_4;Unc0ver;https://unc0ver.dev/;apple;;
36;iPhone;12_4;Chimera;https://chimera.coolstar.org/;apple;;
37;iPhone;12_4_1;Checkra1n;https://checkra.in/;apple;5s - X;
38;iPhone;12_4_1;Unc0ver;https://unc0ver.dev/;apple;;
39;iPhone;12_4_1;Chimera;https://chimera.coolstar.org/;apple;;
40;iPhone;12_4_2;Checkra1n;https://checkra.in/;apple;5s - X;
41;iPhone;12_4_2;Unc0ver;https://unc0ver.dev/;apple;;
42;iPhone;12_4_2;Chimera;https://chimera.coolstar.org/;apple;;
43;iPhone;12_4_3;Checkra1n;https://checkra.in/;apple;5s - X;
44;iPhone;12_4_3;Unc0ver;https://unc0ver.dev/;apple;;
45;iPhone;12_4_3;Chimera;https://chimera.coolstar.org/;apple;;
46;iPhone;12_4_4;Checkra1n;https://checkra.in/;apple;5s - X;
47;iPhone;12_4_4;Unc0ver;https://unc0ver.dev/;apple;;
48;iPhone;12_4_4;Chimera;https://chimera.coolstar.org/;apple;;
49;iPhone;12_4_5;Checkra1n;https://checkra.in/;apple;5s - X;
50;iPhone;12_4_5;Unc0ver;https://unc0ver.dev/;apple;;
51;iPhone;12_4_5;Chimera;https://chimera.coolstar.org/;apple;;
52;iPhone;12_4_6;Checkra1n;https://checkra.in/;apple;5s - X;
53;iPhone;12_4_6;Unc0ver;https://unc0ver.dev/;apple;;
54;iPhone;12_4_6;Chimera;https://chimera.coolstar.org/;apple;;
55;iPhone;12_4_7;Checkra1n;https://checkra.in/;apple;5s - X;
56;iPhone;12_4_7;Unc0ver;https://unc0ver.dev/;apple;;
57;iPhone;12_4_7;Chimera;https://chimera.coolstar.org/;apple;;
58;iPhone;12_4_8;Checkra1n;https://checkra.in/;apple;5s - X;
59;iPhone;12_4_8;Unc0ver;https://unc0ver.dev/;apple;;
60;iPhone;12_4_8;Chimera;https://chimera.coolstar.org/;apple;;
61;iPhone;12_4_9;Checkra1n;https://checkra.in/;apple;5s - X;
62;iPhone;12_4_9;Unc0ver;https://unc0ver.dev/;apple;;
63;iPhone;12_4_9;Chimera;https://chimera.coolstar.org/;apple;;
64;iPhone;12_5;Checkra1n;https://checkra.in/;apple;5s - X;
65;iPhone;12_5;Unc0ver;https://unc0ver.dev/;apple;;
66;iPhone;12_5;Chimera;https://chimera.coolstar.org/;apple;;
67;iPhone;12_5_1;Checkra1n;https://checkra.in/;apple;5s - X;
68;iPhone;12_5_1;Unc0ver;https://unc0ver.dev/;apple;;
69;iPhone;12_5_1;Chimera;https://chimera.coolstar.org/;apple;;
70;iPhone;12_5_2;Checkra1n;https://checkra.in/;apple;5s - X;
71;iPhone;12_5_2;Unc0ver;https://unc0ver.dev/;apple;;
72;iPhone;12_5_2;Chimera;https://chimera.coolstar.org/;apple;;
73;iPhone;12_5_3;Checkra1n;https://checkra.in/;apple;5s - X;
74;iPhone;12_5_3;Unc0ver;https://unc0ver.dev/;apple;;
75;iPhone;12_5_3;Chimera;https://chimera.coolstar.org/;apple;;
76;iPhone;12_5_4;Checkra1n;https://checkra.in/;apple;5s - X;
77;iPhone;12_5_4;Unc0ver;https://unc0ver.dev/;apple;;
78;iPhone;12_5_4;Chimera;https://chimera.coolstar.org/;apple;;
79;iPhone;12_5_5;Checkra1n;https://checkra.in/;linux;5s - X;
80;iPhone;12_5_5;Chimera;https://chimera.coolstar.org/;apple;;
81;iPhone;12_5_5;Unc0ver;https://unc0ver.dev/;apple;;
82;iPhone;12_5_6;Checkra1n;https://checkra.in/;linux;5s - X;
83;iPhone;13_0;Checkra1n;https://checkra.in/;apple;6s - X;
84;iPhone;13_0;Odyssey;https://theodyssey.dev/;apple;;
85;iPhone;13_0;Unc0ver;https://unc0ver.dev/;apple;;
86;iPhone;13_1;Checkra1n;https://checkra.in/;apple;6s - X;
87;iPhone;13_1;Odyssey;https://theodyssey.dev/;apple;;
88;iPhone;13_1;Unc0ver;https://unc0ver.dev/;apple;;
89;iPhone;13_1_1;Checkra1n;https://checkra.in/;apple;6s - X;
90;iPhone;13_1_1;Odyssey;https://theodyssey.dev/;apple;;
91;iPhone;13_1_1;Unc0ver;https://unc0ver.dev/;apple;;
92;iPhone;13_1_2;Checkra1n;https://checkra.in/;apple;6s - X;
93;iPhone;13_1_2;Odyssey;https://theodyssey.dev/;apple;;
94;iPhone;13_1_2;Unc0ver;https://unc0ver.dev/;apple;;
95;iPhone;13_1_3;Checkra1n;https://checkra.in/;apple;6s - X;
96;iPhone;13_1_3;Odyssey;https://theodyssey.dev/;apple;;
97;iPhone;13_1_3;Unc0ver;https://unc0ver.dev/;apple;;
98;iPhone;13_2;Checkra1n;https://checkra.in/;apple;6s - X;
99;iPhone;13_2;Odyssey;https://theodyssey.dev/;apple;;
100;iPhone;13_2;Unc0ver;https://unc0ver.dev/;apple;;
101;iPhone;13_2_1;Checkra1n;https://checkra.in/;apple;6s - X;
102;iPhone;13_2_1;Odyssey;https://theodyssey.dev/;apple;;
103;iPhone;13_2_1;Unc0ver;https://unc0ver.dev/;apple;;
104;iPhone;13_2_2;Checkra1n;https://checkra.in/;apple;6s - X;
105;iPhone;13_2_2;Odyssey;https://theodyssey.dev/;apple;;
106;iPhone;13_2_2;Unc0ver;https://unc0ver.dev/;apple;;
107;iPhone;13_2_3;Checkra1n;https://checkra.in/;apple;6s - X;
108;iPhone;13_2_3;Odyssey;https://theodyssey.dev/;apple;;
109;iPhone;13_2_3;Unc0ver;https://unc0ver.dev/;apple;;
110;iPhone;13_3;Checkra1n;https://checkra.in/;apple;6s - X;
111;iPhone;13_3;Odyssey;https://theodyssey.dev/;apple;;
112;iPhone;13_3;Unc0ver;https://unc0ver.dev/;apple;;
113;iPhone;13_3_1;Checkra1n;https://checkra.in/;apple;6s - X;
114;iPhone;13_3_1;Odyssey;https://theodyssey.dev/;apple;;
115;iPhone;13_3_1;Unc0ver;https://unc0ver.dev/;apple;;
116;iPhone;13_4;Checkra1n;https://checkra.in/;apple;6s - X;
117;iPhone;13_4;Odyssey;https://theodyssey.dev/;apple;;
118;iPhone;13_4;Unc0ver;https://unc0ver.dev/;apple;;
119;iPhone;13_4_1;Checkra1n;https://checkra.in/;apple;6s - X;
120;iPhone;13_4_1;Odyssey;https://theodyssey.dev/;apple;;
121;iPhone;13_4_1;Unc0ver;https://unc0ver.dev/;apple;;
122;iPhone;13_5;Checkra1n;https://checkra.in/;apple;6s - X;
123;iPhone;13_5;Odyssey;https://theodyssey.dev/;apple;;
124;iPhone;13_5;Unc0ver;https://unc0ver.dev/;apple;;
125;iPhone;13_5_1;Checkra1n;https://checkra.in/;apple;6s - X;
126;iPhone;13_5_1;Odyssey;https://theodyssey.dev/;apple;;
127;iPhone;13_6;Checkra1n;https://checkra.in/;apple;6s - X;
128;iPhone;13_6;Odyssey;https://theodyssey.dev/;apple;;
129;iPhone;13_6_1;Checkra1n;https://checkra.in/;apple;6s - X;
130;iPhone;13_6_1;Odyssey;https://theodyssey.dev/;apple;;
